TEPHROITE 1.2119 3.0135 0 0.008725 0.012713 0.46247 0.51076
ANALCIME 0.46979 -0.0068108 0 0.00096517 4.2339e-05 0.013485 0.016609
STILBITE 0.53725 -0.56172 0 0.0029936 0.024091 0.02345 0.072107
WAIRAKITE 2.0607 0.58804 0 0.020826 0.0025214 0.019951 0.089965
ANDALUSITE 0.32967 1.7233 0 0.0006012 0.010771 0.37173 0.39115
KYANITE 0.40328 1.8732 0 0.0011214 0.0078574 0.23287 0.2492
SILLIMANITE 0.063124 1.9145 0 0.0021328 0.025497 0.68051 0.72873
TOPAZ 0.5089 1.4177 0 0.0097075 0.00049909 0.035725 0.06726
CHLORITOID 0.77173 1.9992 0 0.0017466 0.032194 0.098092 0.15598
HERCYNITE 3.0519 4.8064 0 0.022431 8.1422e-05 0.93866 1.0098
SPINEL 3.2462 4.8484 0 0.02722 0.02745 0.96293 1.0937
ULVOESPINEL 2.4628 4.2702 0 0.0092691 0.039988 0.73376 0.82814
GEIKELITE 2.4871 4.3204 0 0.0015823 0.086203 0.84565 0.99086
ILMENITE 2.3745 4.1702 0 0.012072 0.034115 0.6892 0.7829
STAUROLITE 0.45816 2.254 0 0.0044488 0.0048362 0.38686 0.40881
CORDIERITE 0.66177 1.5759 0 0.0011806 0.030625 0.023479 0.077026
PORTLANDITE 1.7286 3.5316 0 0.0020985 0.094791 0.46755 0.62837
APATITE 1.6394 1.1427 0 0.015124 0.0019907 0.049863 0.10097
MONAZITE 0.8538 1.3338 0 0.0065271 0.0816 0.43811 0.59149
XENOTIME -0.12816 -0.37562 0 9.5166e-05 0.007869 0.0046091 0.017709
CHONDRODITE 1.1387 2.5912 0 0.0055406 0.020401 0.29146 0.34218
CLINOHUMITE 1.0773 2.4792 0 0.0044956 0.06011 0.18987 0.30186
HUMITE 1.0747 2.5475 0 0.0058026 0.043883 0.29903 0.38877
NORBERGITE 1.26 2.9165 0 0.0041404 0.031678 0.37484 0.43946
AKAGANEITE -2.7601 9.4814 0 0.013974 0.067226 0.023968 0.17754
BRUCITE 1.7494 3.6195 0 0.035559 0.018644 0.57351 0.71637
DIASPORE 1.8882 3.7826 0 0.0071729 0.043507 0.64416 0.73762
BOEHMITE 1.8834 3.7436 0 0.0021679 0.013621 0.73633 0.76534
GEOTHITE 1.7253 3.0412 0 0.033396 0.00393 0.21693 0.32902
LEPIDOCROCITE 1.6773 3.3188 0 0.019416 0.024487 0.4266 0.52787
GIBBSITE 1.1741 1.8283 0 0.11801 0.012101 0.022015 0.41518
NORDSTRANDITE 1.0134 2.2424 0 0.021299 0.0021399 0.1795 0.25039
BAYERITE 0.99716 2.5062 0 0.00020668 0.048002 0.28911 0.36784
LIMONITE 0.83394 2.0408 0 0.0074152 0.00084068 0.16469 0.18953
PYROCHROITE 1.4826 3.2013 0 0.011947 0.017467 0.45917 0.52539
SPERTINIITE 1.3321 2.9707 0 0.0049065 0.11493 0.3008 0.50327
CASSITERITE 1.0617 3.3026 0 0.0091173 0.05947 0.77119 0.89677
CERIANITE 2.8103 4.4129 0 0.0063823 0.15944 0.62901 0.90854
CHROMITE 2.6942 4.4982 0 0.0059604 0.043365 0.79605 0.88545
CORUNDUM 2.9756 5.5432 0 0.011033 0.16198 0.17861 0.47699
FRANKLINITE 2.6195 4.3121 0 0.014423 0.09065 0.7223 0.91539
HEMATITE 1.3181 5.8631 0 0.67397 0.064144 0.62266 2.86
JACOBSITE 2.181 4.0296 0 0.0020627 0.072711 0.65943 0.78422
MAGNESIOCHROMITE 2.844 4.6738 0 0.034489 0.08377 0.85676 1.1022
MAGNESIOFERRITE 2.2624 4.1279 0 0.041385 0.0038971 0.69104 0.82836
MAGNETITE 2.337 3.9985 0 0.029325 2.3698 0.42656 4.3738
PEROVSKITE 6.8609 -1.0106e-14 0 0.039022 0.010959 0.018684 0.16001
PLATTNERITE 1.2611 2.7251 0 0.0013988 0.041475 0.27916 0.35104
PYROLUSITE 1.319 3.0653 0 0.013519 0.028648 0.40591 0.49529
RUTILE 1.4988 3.6805 0 0.036302 0.28798 0.94288 1.5262
THORIANITE 2.7549 4.5026 0 6.9575e-05 0.0089776 0.8378 0.85262
URANINITE 2.6616 4.5227 0 0.020892 0.023613 0.88319 0.98772
WOLFRAMITE 0.72792 3.0845 0 0.0061026 0.12042 0.86439 1.0796
LEUCITE 0.37369 1.1289 0 0.013943 0.00017066 0.0049267 0.049334
NEPHELINE 0.61411 1.6416 0 0.012811 0.022335 0.040075 0.11695
PECTOLITE 0.65021 1.7745 0 3.1306e-05 0.029666 0.075216 0.12357
RHODONITE 0.95273 2.396 0 0.0095781 0.0022743 0.27603 0.31004
ALUNITE -0.014767 1.0765 0 0.00039001 0.0026452 0.002369 0.0079057
ANGLESITE 0.69545 0.095139 0 0.018962 0.0095708 0.0019192 0.077498
ANHYDRITE -0.058651 -0.045693 0 0.002277 0.0032063 0.00080023 0.013222
BARITE 0.522 0.71547 0 0.0041175 0.0079591 0.045157 0.071134
AMESITE 0.7247 2.4446 0 0.0069334 0.073779 0.31278 0.45472
CHRYSOTILE 2.4298 1.3291 0 0.007976 0.05671 0.012133 0.12961
LIZARDITE 0.83771 1.9571 0 0.0033479 0.023286 0.10642 0.15489
SERPENTINE 0.73309 2.3464 0 0.015256 0.023117 0.40684 0.49273
ILLITE 0.73534 0.91237 0 0.027109 0.14342 0.038123 0.35719
KAOLINITE 0.5062 0.9564 0 0.12726 0.0023332 0.0046613 0.41122
PYROPHYLLITE 0.064854 0.67286 0 0.010115 0.017639 0.0020234 0.062725
SMECTITE 1.5377 -3.4169 0 0.014509 0.021649 0.025847 0.10698
TALC 0.28011 1.8949 0 0.0062702 0.048713 0.27144 0.37051
MALAYAITE 0.89909 2.4009 0 0.0048079 0.03465 0.26339 0.33496
TITANITE 1.053 2.4141 0 0.007757 0.045099 0.85468 0.95258
PHENACITE 1.512 3.2867 0 0.020861 0.014317 0.48391 0.57322
WILLEMITE 1.041 2.5606 0 0.0023541 0.027924 0.31851 0.37138
THORITE 1.1439 2.8254 0 0.0065697 0.011377 0.38171 0.42101
ZIRCON 1.5551 1.2278 0 0.030276 0.16367 0.27209 0.63412
AXINITE 0.41054 1.4674 0 0.023231 0.016548 0.012054 0.11249
BERYL 0.78822 1.9928 0 0.0077447 0.0068632 0.13341 0.16908
DATOLITE 0.17882 1.018 0 0.0054362 0.034565 0.0067113 0.080136
GEHLENITE 3.5392 1.2557e-15 0 0.0036188 0.007817 0.012508 0.036675
ILVAITE 1.5175 3.2272 0 0.004707 0.00093803 0.48687 0.5033
LAWSONITE 1.9252 0.21321 0 0.0043865 0.11761 0.024324 0.2295
PREHNITE 0.65332 1.3 0 0.079684 0.00066265 0.040368 0.29363
TOURMALINE 0.42904 1.3536 0 0.0064082 0.044743 0.20668 0.29974
WOLLASTONITE 1.3575 1.5184 0 0.0054609 0.029662 0.35057 0.41609
VESUVIANITE 1.3929 2.9117 0 0.013013 0.042112 0.30127 0.41095
